Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,111.09338382512786,132.76856012803478,4.676720017108788,4.200000000000004e-2,3.88132345045475e-4,"cx0_1: 1.082e-2",Fri May 01 2020 14:13:42 GMT+0300 (EEST)
Q1,74.6578628220794,93.81085095496611,4.782679489676172,3.849999999999998e-2,3.680379904889957e-4,"cx1_0: 1.082e-2, cx1_2: 1.790e-2, cx1_6: 1.405e-2",Fri May 01 2020 14:13:42 GMT+0300 (EEST)
Q2,87.32107643490956,103.3202891867901,4.685355963440569,6.25e-2,1.834919856806779e-3,"cx2_1: 1.790e-2, cx2_3: 1.882e-2",Fri May 01 2020 14:13:42 GMT+0300 (EEST)
Q3,60.13827220923453,56.7709196682031,4.716956835025736,9.499999999999997e-2,1.9562615007763825e-3,"cx3_2: 1.882e-2, cx3_4: 3.272e-2, cx3_8: 1.955e-2",Fri May 01 2020 14:13:42 GMT+0300 (EEST)
Q4,93.63409377427688,60.433891902834276,4.564594517221535,2.950000000000008e-2,3.888535561484657e-4,"cx4_3: 3.272e-2",Fri May 01 2020 14:13:42 GMT+0300 (EEST)
Q5,122.08503117355009,70.08954054207227,4.309495406998901,5.95e-2,3.9519626262049285e-4,"cx5_6: 2.382e-2, cx5_10: 1.806e-2",Fri May 01 2020 14:13:42 GMT+0300 (EEST)
Q6,89.13541421997839,72.2307405757305,4.662592765118489,4.500000000000004e-2,4.238980977914999e-4,"cx6_1: 1.405e-2, cx6_5: 2.382e-2, cx6_7: 1.046e-2",Fri May 01 2020 14:13:42 GMT+0300 (EEST)
Q7,74.89530136735408,98.3075598745334,4.830996908068534,3.600000000000003e-2,5.385133839453496e-4,"cx7_6: 1.046e-2, cx7_8: 1.572e-2, cx7_12: 2.141e-2",Fri May 01 2020 14:13:42 GMT+0300 (EEST)
Q8,59.3278645044196,102.7464153105715,4.623115316103522,3.1500000000000083e-2,7.313676151433804e-4,"cx8_3: 1.955e-2, cx8_7: 1.572e-2, cx8_9: 1.522e-2",Fri May 01 2020 14:13:42 GMT+0300 (EEST)
Q9,82.57097325650305,74.81498495683437,4.697704077939992,3.1000000000000028e-2,2.779240459173146e-4,"cx9_8: 1.522e-2, cx9_14: 7.850e-3",Fri May 01 2020 14:13:42 GMT+0300 (EEST)
Q10,61.81162252589644,97.64534768538489,4.424212234232111,2.5500000000000078e-2,2.93637352877683e-4,"cx10_5: 1.806e-2, cx10_11: 8.720e-3",Fri May 01 2020 14:13:42 GMT+0300 (EEST)
Q11,70.8557231216544,81.93211041830716,4.521516002773468,2.5500000000000078e-2,4.3540053180783715e-4,"cx11_10: 8.720e-3, cx11_12: 1.807e-2, cx11_16: 1.000e+0",Fri May 01 2020 14:13:42 GMT+0300 (EEST)
Q12,56.24467662260645,98.56055649277154,4.603512703657983,7.499999999999996e-2,3.607664721070519e-3,"cx12_7: 2.141e-2, cx12_11: 1.807e-2, cx12_13: 6.911e-2",Fri May 01 2020 14:13:42 GMT+0300 (EEST)
Q13,5.944541457247786,7.035480889994586,4.624375740244188,1.5000000000000002e-1,6.304471788659847e-3,"cx13_12: 6.911e-2, cx13_14: 6.055e-2, cx13_18: 7.568e-2",Fri May 01 2020 14:13:42 GMT+0300 (EEST)
Q14,86.95949358094508,133.0485000904263,4.757622208300628,2.8000000000000025e-2,3.05891665988927e-4,"cx14_9: 7.850e-3, cx14_13: 6.055e-2",Fri May 01 2020 14:13:42 GMT+0300 (EEST)
Q15,92.03480237297029,175.44688795018695,4.488489427830381,3.949999999999998e-2,3.7009941309856033e-4,"cx15_16: 1.000e+0",Fri May 01 2020 14:13:42 GMT+0300 (EEST)
Q16,62.34507207158278,8.513947845759052,4.738442568251456,1.1250000000000004e-1,3.86579780147004e-4,"cx16_11: 1.000e+0, cx16_15: 1.000e+0, cx16_17: 3.717e-2",Fri May 01 2020 14:13:42 GMT+0300 (EEST)
Q17,125.53197543611746,131.56395455238,4.882587868803052,3.200000000000003e-2,4.0321675885883305e-4,"cx17_16: 3.717e-2, cx17_18: 2.018e-2",Fri May 01 2020 14:13:42 GMT+0300 (EEST)
Q18,125.68693593397877,91.07563114048159,4.528130865344994,6.2000000000000055e-2,4.8280513023757766e-4,"cx18_13: 7.568e-2, cx18_17: 2.018e-2, cx18_19: 3.685e-2",Fri May 01 2020 14:13:42 GMT+0300 (EEST)
Q19,88.68585064264546,82.2356389332844,4.697658499744774,4.3500000000000094e-2,5.056521248814915e-4,"cx19_18: 3.685e-2",Fri May 01 2020 14:13:42 GMT+0300 (EEST)
