Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,87.42431459994809,158.85698832402616,4.676720423816866,2.9000000000000026e-2,5.057895536018499e-4,"cx0_1: 1.254e-2",Tue May 12 2020 02:25:25 GMT+0300 (EEST)
Q1,93.63254383925694,98.53536418328069,4.782678760098285,1.9000000000000017e-2,4.3581627197815116e-4,"cx1_0: 1.254e-2, cx1_2: 2.015e-2, cx1_6: 1.276e-2",Tue May 12 2020 02:25:25 GMT+0300 (EEST)
Q2,77.64202865009968,94.15083246964831,4.685358583350853,4.049999999999998e-2,9.148270268800894e-4,"cx2_1: 2.015e-2, cx2_3: 1.668e-2",Tue May 12 2020 02:25:25 GMT+0300 (EEST)
Q3,87.61570098811318,130.94527266980666,4.71693631353878,2.750000000000008e-2,1.882199488422622e-3,"cx3_2: 1.668e-2, cx3_4: 1.978e-2, cx3_8: 1.776e-2",Tue May 12 2020 02:25:25 GMT+0300 (EEST)
Q4,71.28050953192852,63.2290902094404,4.564599982427707,5.0000000000000044e-2,3.53906829040341e-4,"cx4_3: 1.978e-2",Tue May 12 2020 02:25:25 GMT+0300 (EEST)
Q5,138.48308124795582,94.46861029915766,4.30934133926462,5.899999999999994e-2,3.7823757859269325e-4,"cx5_6: 2.218e-2, cx5_10: 1.179e-2",Tue May 12 2020 02:25:25 GMT+0300 (EEST)
Q6,96.37216434994231,82.85195017646842,4.662622129781336,4.600000000000004e-2,5.192434086558088e-4,"cx6_1: 1.276e-2, cx6_5: 2.218e-2, cx6_7: 1.080e-2",Tue May 12 2020 02:25:25 GMT+0300 (EEST)
Q7,87.29135727869459,27.786262258495338,4.8309982787243575,4.5499999999999985e-2,5.338906006281485e-4,"cx7_6: 1.080e-2, cx7_8: 2.018e-2, cx7_12: 1.649e-2",Tue May 12 2020 02:25:25 GMT+0300 (EEST)
Q8,54.744686527416356,95.13940536597524,4.6231110944509695,2.950000000000008e-2,1.1321722575607105e-3,"cx8_3: 1.776e-2, cx8_7: 2.018e-2, cx8_9: 1.363e-2",Tue May 12 2020 02:25:25 GMT+0300 (EEST)
Q9,84.9208786801781,77.2764230031054,4.697700625518392,2.6499999999999968e-2,1.7438750540037904e-4,"cx9_8: 1.363e-2, cx9_14: 6.333e-3",Tue May 12 2020 02:25:25 GMT+0300 (EEST)
Q10,95.87559485697378,168.31147425740664,4.424211055226253,3.649999999999998e-2,3.316248994621672e-4,"cx10_5: 1.179e-2, cx10_11: 1.110e-2",Tue May 12 2020 02:25:25 GMT+0300 (EEST)
Q11,76.46053415560641,93.97356103496116,4.521515237299811,4.249999999999998e-2,4.066705896626309e-4,"cx11_10: 1.110e-2, cx11_12: 1.477e-2, cx11_16: 1.081e-2",Tue May 12 2020 02:25:25 GMT+0300 (EEST)
Q12,105.41852991830748,143.04202411083432,4.603508988266958,5.699999999999994e-2,1.8518878645934684e-3,"cx12_7: 1.649e-2, cx12_11: 1.477e-2, cx12_13: 3.238e-2",Tue May 12 2020 02:25:25 GMT+0300 (EEST)
Q13,84.27876158506449,72.59084005895171,4.624359605779254,4.0000000000000036e-2,2.8635248273228124e-3,"cx13_12: 3.238e-2, cx13_14: 2.478e-2, cx13_18: 2.372e-2",Tue May 12 2020 02:25:25 GMT+0300 (EEST)
Q14,73.48402846060256,46.595608968392455,4.757621757828337,2.5000000000000022e-2,4.685952720777366e-4,"cx14_9: 6.333e-3, cx14_13: 2.478e-2",Tue May 12 2020 02:25:25 GMT+0300 (EEST)
Q15,79.32054081895804,117.38104530523196,4.488493964434104,3.049999999999997e-2,2.5903382091453983e-4,"cx15_16: 9.508e-3",Tue May 12 2020 02:25:25 GMT+0300 (EEST)
Q16,79.2978798627905,88.19787076044283,4.738438189150821,3.700000000000003e-2,3.725694152410905e-4,"cx16_11: 1.081e-2, cx16_15: 9.508e-3, cx16_17: 1.563e-2",Tue May 12 2020 02:25:25 GMT+0300 (EEST)
Q17,111.39703572982656,121.31500029579422,4.88258747282753,2.300000000000002e-2,2.941275275342145e-4,"cx17_16: 1.563e-2, cx17_18: 1.473e-2",Tue May 12 2020 02:25:25 GMT+0300 (EEST)
Q18,123.55817916134345,111.23113217412168,4.527835798600132,6.45e-2,6.806869143565509e-4,"cx18_13: 2.372e-2, cx18_17: 1.473e-2, cx18_19: 2.048e-2",Tue May 12 2020 02:25:25 GMT+0300 (EEST)
Q19,126.15073189028787,58.90344854934509,4.697662951491809,3.300000000000003e-2,3.6089370023498446e-4,"cx19_18: 2.048e-2",Tue May 12 2020 02:25:25 GMT+0300 (EEST)
