Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,75.4203115397786,96.59684135755383,4.676722823482438,3.049999999999997e-2,4.288932778445276e-4,"cx0_1: 1.092e-2",Mon May 18 2020 13:47:48 GMT+0300 (EEST)
Q1,89.57868348044401,109.85675984564216,4.7826795278041505,2.200000000000002e-2,3.835518148273079e-4,"cx1_0: 1.092e-2, cx1_2: 1.936e-2, cx1_6: 9.826e-3",Mon May 18 2020 13:47:48 GMT+0300 (EEST)
Q2,94.19280700310011,99.82206561596489,4.685359125466949,4.200000000000004e-2,1.5480735711772406e-3,"cx2_1: 1.936e-2, cx2_3: 1.424e-2",Mon May 18 2020 13:47:48 GMT+0300 (EEST)
Q3,109.45045316966693,138.95683942541984,4.716942848639609,3.500000000000003e-2,1.195828649689422e-3,"cx3_2: 1.424e-2, cx3_4: 1.742e-2, cx3_8: 1.561e-2",Mon May 18 2020 13:47:48 GMT+0300 (EEST)
Q4,70.00857072972676,63.01551359833046,4.564594877408764,2.750000000000008e-2,2.876015850510927e-4,"cx4_3: 1.742e-2",Mon May 18 2020 13:47:48 GMT+0300 (EEST)
Q5,144.85088668125053,109.37040800464123,4.309626136092358,8.250000000000002e-2,3.8716265708309386e-4,"cx5_6: 2.635e-2, cx5_10: 9.788e-3",Mon May 18 2020 13:47:48 GMT+0300 (EEST)
Q6,113.45514025399221,87.28727442922106,4.662616165159074,6.65e-2,2.751838474081204e-4,"cx6_1: 9.826e-3, cx6_5: 2.635e-2, cx6_7: 1.346e-2",Mon May 18 2020 13:47:48 GMT+0300 (EEST)
Q7,67.54813316428587,97.06776310412396,4.831001119891586,2.2499999999999964e-2,5.11409925338934e-4,"cx7_6: 1.346e-2, cx7_8: 1.733e-2, cx7_12: 1.496e-2",Mon May 18 2020 13:47:48 GMT+0300 (EEST)
Q8,75.92504420339696,115.92244145792579,4.623106109319363,2.300000000000002e-2,1.3854863691937745e-3,"cx8_3: 1.561e-2, cx8_7: 1.733e-2, cx8_9: 1.432e-2",Mon May 18 2020 13:47:48 GMT+0300 (EEST)
Q9,91.47274201699103,86.31978303502001,4.697699093769135,2.6499999999999968e-2,3.7325732720200095e-4,"cx9_8: 1.432e-2, cx9_14: 7.348e-3",Mon May 18 2020 13:47:48 GMT+0300 (EEST)
Q10,108.1502950553765,163.9263525824735,4.424211874544151,3.550000000000009e-2,2.8994294796252034e-4,"cx10_5: 9.788e-3, cx10_11: 6.785e-3",Mon May 18 2020 13:47:48 GMT+0300 (EEST)
Q11,69.70414913229516,86.21861629819638,4.521519869232789,3.5499999999999976e-2,4.173570884044711e-4,"cx11_10: 6.785e-3, cx11_12: 1.313e-2, cx11_16: 1.547e-2",Mon May 18 2020 13:47:48 GMT+0300 (EEST)
Q12,89.45565583586708,160.92359678751887,4.603510477850748,5.6499999999999995e-2,2.3116327960043246e-3,"cx12_7: 1.496e-2, cx12_11: 1.313e-2, cx12_13: 5.567e-2",Mon May 18 2020 13:47:48 GMT+0300 (EEST)
Q13,6.150436511736469,6.602570334149908,4.624362237062973,1.4e-1,5.713236325726479e-3,"cx13_12: 5.567e-2, cx13_14: 4.582e-2, cx13_18: 6.469e-2",Mon May 18 2020 13:47:48 GMT+0300 (EEST)
Q14,85.0059894824176,112.5151221229622,4.757617604287631,2.300000000000002e-2,2.000080117732959e-4,"cx14_9: 7.348e-3, cx14_13: 4.582e-2",Mon May 18 2020 13:47:48 GMT+0300 (EEST)
Q15,130.47239473566782,137.52904135505875,4.4884954628185385,4.499999999999993e-2,3.043076786052516e-4,"cx15_16: 1.202e-2",Mon May 18 2020 13:47:48 GMT+0300 (EEST)
Q16,34.553610030400414,51.55009299232701,4.738440311688615,3.3500000000000085e-2,3.962211148723774e-4,"cx16_11: 1.547e-2, cx16_15: 1.202e-2, cx16_17: 1.287e-2",Mon May 18 2020 13:47:48 GMT+0300 (EEST)
Q17,111.39703572982656,130.6610805008873,4.882584735438497,5.600000000000005e-2,3.105505683817836e-4,"cx17_16: 1.287e-2, cx17_18: 1.648e-2",Mon May 18 2020 13:47:48 GMT+0300 (EEST)
Q18,123.55817916134345,98.333411989537,4.528365157946051,1.1250000000000004e-1,4.564778659957389e-4,"cx18_13: 6.469e-2, cx18_17: 1.648e-2, cx18_19: 1.624e-2",Mon May 18 2020 13:47:48 GMT+0300 (EEST)
Q19,126.15073189028787,66.84987750696601,4.6976636232465605,3.0000000000000027e-2,6.8017003664249e-4,"cx19_18: 1.624e-2",Mon May 18 2020 13:47:48 GMT+0300 (EEST)
