Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,78.61733715893662,49.44624081666471,4.676722494930629,4.800000000000004e-2,5.546245518628812e-4,"cx0_1: 1.502e-2",Sat May 09 2020 13:54:18 GMT+0300 (EEST)
Q1,81.39456616518046,74.51547731636145,4.782680215872407,2.6000000000000023e-2,4.509666665916671e-4,"cx1_0: 1.502e-2, cx1_2: 2.029e-2, cx1_6: 1.022e-2",Sat May 09 2020 13:54:18 GMT+0300 (EEST)
Q2,60.01858806702225,81.01443539965388,4.685359977243065,5.049999999999999e-2,1.399242768471019e-3,"cx2_1: 2.029e-2, cx2_3: 1.542e-2",Sat May 09 2020 13:54:18 GMT+0300 (EEST)
Q3,93.25522239481998,59.199363924480224,4.716938417785113,2.7000000000000024e-2,1.463230382395202e-3,"cx3_2: 1.542e-2, cx3_4: 1.950e-2, cx3_8: 2.947e-2",Sat May 09 2020 13:54:18 GMT+0300 (EEST)
Q4,89.24686268927067,63.2290902094404,4.564595739066579,3.3500000000000085e-2,4.4340762231725127e-4,"cx4_3: 1.950e-2",Sat May 09 2020 13:54:18 GMT+0300 (EEST)
Q5,112.1649732731684,93.5276236439639,4.309536621573846,6.1000000000000054e-2,3.247697308844346e-4,"cx5_6: 3.047e-2, cx5_10: 9.031e-3",Sat May 09 2020 13:54:18 GMT+0300 (EEST)
Q6,90.66356946268377,76.84039312179705,4.662579865511476,4.849999999999999e-2,3.456188829291639e-4,"cx6_1: 1.022e-2, cx6_5: 3.047e-2, cx6_7: 1.330e-2",Sat May 09 2020 13:54:18 GMT+0300 (EEST)
Q7,75.10375756804413,99.28082121266571,4.830999263860999,1.9000000000000017e-2,6.03062428774885e-4,"cx7_6: 1.330e-2, cx7_8: 1.984e-2, cx7_12: 1.660e-2",Sat May 09 2020 13:54:18 GMT+0300 (EEST)
Q8,64.30164867257272,70.3589680088848,4.623108983134826,2.3500000000000076e-2,1.0399931164751014e-3,"cx8_3: 2.947e-2, cx8_7: 1.984e-2, cx8_9: 1.379e-2",Sat May 09 2020 13:54:18 GMT+0300 (EEST)
Q9,80.09206619830229,77.2764230031054,4.69769782667577,2.6499999999999968e-2,2.803494783049363e-4,"cx9_8: 1.379e-2, cx9_14: 7.780e-3",Sat May 09 2020 13:54:18 GMT+0300 (EEST)
Q10,98.7755611004331,169.02401442148727,4.4242142035270815,3.750000000000009e-2,2.964810155277862e-4,"cx10_5: 9.031e-3, cx10_11: 8.935e-3",Sat May 09 2020 13:54:18 GMT+0300 (EEST)
Q11,85.24981567138032,119.96338073955893,4.521517889056973,4.5499999999999985e-2,4.884757123524529e-4,"cx11_10: 8.935e-3, cx11_12: 1.216e-2, cx11_16: 1.071e-2",Sat May 09 2020 13:54:18 GMT+0300 (EEST)
Q12,90.08689379587435,135.33053732466075,4.603512197632628,6.15e-2,3.3814338303866385e-3,"cx12_7: 1.660e-2, cx12_11: 1.216e-2, cx12_13: 2.366e-2",Sat May 09 2020 13:54:18 GMT+0300 (EEST)
Q13,76.33081280276492,81.62398253580764,4.624357839722542,2.849999999999997e-2,5.320885289371985e-3,"cx13_12: 2.366e-2, cx13_14: 2.640e-2, cx13_18: 1.895e-2",Sat May 09 2020 13:54:18 GMT+0300 (EEST)
Q14,66.33970100958216,108.53641882103203,4.757623472895639,4.600000000000004e-2,3.286631988615873e-4,"cx14_9: 7.780e-3, cx14_13: 2.640e-2",Sat May 09 2020 13:54:18 GMT+0300 (EEST)
Q15,82.54749482437846,134.71416356741437,4.4884950830568675,3.700000000000003e-2,5.478705827307603e-4,"cx15_16: 1.041e-2",Sat May 09 2020 13:54:18 GMT+0300 (EEST)
Q16,79.51644149131789,101.46837971641432,4.738439609191639,3.049999999999997e-2,2.9864702556588624e-4,"cx16_11: 1.071e-2, cx16_15: 1.041e-2, cx16_17: 1.043e-2",Sat May 09 2020 13:54:18 GMT+0300 (EEST)
Q17,92.08175812923754,134.96636299653414,4.88258618800703,4.249999999999998e-2,4.25289448242539e-4,"cx17_16: 1.043e-2, cx17_18: 2.074e-2",Sat May 09 2020 13:54:18 GMT+0300 (EEST)
Q18,123.55817916134345,54.45672226461525,4.528124577880228,6.35e-2,4.442573116608124e-4,"cx18_13: 1.895e-2, cx18_17: 2.074e-2, cx18_19: 1.426e-2",Sat May 09 2020 13:54:18 GMT+0300 (EEST)
Q19,126.15073189028787,60.35216847309267,4.697656532617121,3.499999999999992e-2,4.3165758241110665e-4,"cx19_18: 1.426e-2",Sat May 09 2020 13:54:18 GMT+0300 (EEST)
