Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,90.05982204396214,123.60812470629018,4.676718936978519,3.500000000000003e-2,3.7950182065860815e-4,"cx0_1: 1.353e-2",Thu May 07 2020 20:54:01 GMT+0300 (EEST)
Q1,109.21558819755708,111.9255769744802,4.782679746109996,2.5000000000000022e-2,3.752675596909656e-4,"cx1_0: 1.353e-2, cx1_2: 2.247e-2, cx1_6: 1.060e-2",Thu May 07 2020 20:54:01 GMT+0300 (EEST)
Q2,70.88175122561782,85.95822095655019,4.685359546454875,5.2000000000000046e-2,9.238515274795088e-4,"cx2_1: 2.247e-2, cx2_3: 1.742e-2",Thu May 07 2020 20:54:01 GMT+0300 (EEST)
Q3,93.25522239481998,108.21475413264339,4.716943423452129,3.0000000000000027e-2,1.5930890821806958e-3,"cx3_2: 1.742e-2, cx3_4: 2.726e-2, cx3_8: 1.722e-2",Thu May 07 2020 20:54:01 GMT+0300 (EEST)
Q4,90.82874230149093,63.2290902094404,4.56459085590432,2.950000000000008e-2,3.2063633972809766e-4,"cx4_3: 2.726e-2",Thu May 07 2020 20:54:01 GMT+0300 (EEST)
Q5,94.40850564760987,107.494694765014,4.3094562196806985,6.099999999999994e-2,2.940610879082425e-4,"cx5_6: 2.619e-2, cx5_10: 1.231e-2",Thu May 07 2020 20:54:01 GMT+0300 (EEST)
Q6,106.86316742143909,70.19100103637746,4.662579120302534,5.049999999999999e-2,4.54769673518369e-4,"cx6_1: 1.060e-2, cx6_5: 2.619e-2, cx6_7: 1.460e-2",Thu May 07 2020 20:54:01 GMT+0300 (EEST)
Q7,74.61197601728954,99.28082121266571,4.830998266415609,2.5000000000000022e-2,4.7824840391981976e-4,"cx7_6: 1.460e-2, cx7_8: 1.465e-2, cx7_12: 1.286e-2",Thu May 07 2020 20:54:01 GMT+0300 (EEST)
Q8,81.39387682054858,136.6707725413375,4.623115880624404,2.6000000000000023e-2,6.025104945387338e-4,"cx8_3: 1.722e-2, cx8_7: 1.465e-2, cx8_9: 1.938e-2",Thu May 07 2020 20:54:01 GMT+0300 (EEST)
Q9,79.25500337954578,62.22882177274979,4.697704821013292,2.9000000000000026e-2,3.5986255480013234e-4,"cx9_8: 1.938e-2, cx9_14: 1.134e-2",Thu May 07 2020 20:54:01 GMT+0300 (EEST)
Q10,122.45865385772751,165.7209085230157,4.424212913641964,3.4499999999999975e-2,2.521560089571233e-4,"cx10_5: 1.231e-2, cx10_11: 2.529e-2",Thu May 07 2020 20:54:01 GMT+0300 (EEST)
Q11,88.19962357554739,104.81016481205782,4.521628051490047,6.15e-2,8.27418218381426e-3,"cx11_10: 2.529e-2, cx11_12: 1.000e+0, cx11_16: 1.702e-1",Thu May 07 2020 20:54:01 GMT+0300 (EEST)
Q12,96.55798549271104,150.01721198581484,4.603511192672787,9.199999999999997e-2,5.964293269581897e-3,"cx12_7: 1.286e-2, cx12_11: 1.000e+0, cx12_13: 2.608e-2",Thu May 07 2020 20:54:01 GMT+0300 (EEST)
Q13,70.77071901397808,89.05778392868467,4.624374324296625,4.0000000000000036e-2,3.929669840577503e-3,"cx13_12: 2.608e-2, cx13_14: 2.751e-2, cx13_18: 3.063e-2",Thu May 07 2020 20:54:01 GMT+0300 (EEST)
Q14,62.67199317131098,109.92160102933298,4.757621129991494,2.9000000000000026e-2,3.9637794104849586e-4,"cx14_9: 1.134e-2, cx14_13: 2.751e-2",Thu May 07 2020 20:54:01 GMT+0300 (EEST)
Q15,111.87385795265408,166.92368239931844,4.488494719542335,3.500000000000003e-2,2.5188714127740537e-4,"cx15_16: 1.010e-2",Thu May 07 2020 20:54:01 GMT+0300 (EEST)
Q16,74.62652313610442,95.49317158169275,4.738438834984671,3.1000000000000028e-2,3.66569919563256e-4,"cx16_11: 1.702e-1, cx16_15: 1.010e-2, cx16_17: 1.505e-2",Thu May 07 2020 20:54:01 GMT+0300 (EEST)
Q17,88.98631835044432,73.93716296598788,4.882581150640713,3.1000000000000028e-2,5.360982706979797e-4,"cx17_16: 1.505e-2, cx17_18: 2.545e-2",Thu May 07 2020 20:54:01 GMT+0300 (EEST)
Q18,123.55817916134345,32.47738129827912,4.528007066710744,6.699999999999995e-2,7.364399637143714e-4,"cx18_13: 3.063e-2, cx18_17: 2.545e-2, cx18_19: 2.762e-2",Thu May 07 2020 20:54:01 GMT+0300 (EEST)
Q19,126.15073189028787,66.11360998555023,4.697659510627209,6.35e-2,3.2171130092004227e-4,"cx19_18: 2.762e-2",Thu May 07 2020 20:54:01 GMT+0300 (EEST)
